PAK1,RAC1
E6,UBE3A
E6,UBE3A
E6,UBE3A
E6,UBE3A
E6,UBE3A
E6,UBE3A
UBE3A,E6
UBE3A,E6
UBE3A,E6
UBE3A,E6
UBE3A,E6
PAK1,CDC42
E6,UBE3A
E6,UBE3A
E6,UBE3A
UBE3A,E6
UBE3A,E6
UBE3A,E6
UBE3A,E6
RHOA,Rtkn
TAT,UBE3A
TAT,UBE3A
TAT,UBE3A
TAT,UBE3A
TAT,UBE3A
TAT,UBE3A
TAT,UBE3A
UBE3A,TAT
UBE3A,TAT
UBE3A,TAT
UBE3A,TAT
TP53,UBE3A
TP53,UBE3A
UBE3A,TP53
UBE3A,TP53
UBE3A,TP53
UBE3A,TP53
PSMD4,UBE3A
PSMD4,UBE3A
PSMD4,UBE3A
PSMD4,UBE3A
PSMD4,UBE3A
E6,UBE3A
E6,UBE3A
E6,UBE3A
E6,UBE3A
UBE3A,E6
Rhoa,Rtkn
E6,UBE3A
UBE3A,E6
UBE3A,E6
RPH3A,UBE3A
UBE3A,RPH3A
UBE3A,RPH3A
UBE3A,TAT
UBE3A,TAT
UBE3A,TAT
MCM6,UBE3A
MCM6,UBE3A
UBE3A,MCM6
UBE3A,MCM6
UBE3A,MCM6
UBE3A,MCM6
E6,UBE3A
UBE3A,E6
MCM6,UBE3A
UBE3A,E6
UBE3A,E6
UBE3A,MCM6
UBE3A,MCM6
a0a2k7p776_human,UBE3A
a0a2k7p776_human,UBE3A
a0a2k7p776_human,UBE3A
AHSP,UBE3A
ASAP3,UBE3A
ATG9A,UBE3A
ATG9A,UBE3A
b3kpl7_human,UBE3A
b3kpl7_human,UBE3A
KLHL38,UBE3A
MARF1,UBE3A
MARF1,UBE3A
SNAPC3,UBE3A
SNAPC3,UBE3A
TAT,UBE3A
UBB,UBE3A
UBB,UBE3A
UBB,UBE3A
UBC,UBE3A
UBC,UBE3A
UBC,UBE3A
UBE3A,AHSP
UBE3A,AHSP
UBE3A,ASAP3
UBE3A,ASAP3
UBE3A,ATG9A
UBE3A,b3kpl7_human
UBE3A,IDH1
UBE3A,IDH1
UBE3A,IDH1
UBE3A,KLHL38
UBE3A,KLHL38
UBE3A,MARF1
UBE3A,MCM6
UBE3A,MCM6
UBE3A,MCM6
UBE3A,NR4A3
UBE3A,NR4A3
UBE3A,NR4A3
UBE3A,RHBDD2
UBE3A,RHBDD2
UBE3A,RHBDD2
UBE3A,SNAPC3
UBE3A,TAT
UBE3A,TAT
UBE3A,TMEM14B
UBE3A,TMEM14B
UBE3A,TMEM14B
JADE1,UBE3A
UBE3A,JADE1
BAK1,UBE3A
BAK1,UBE3A
HIF1AN,UBE3A
HIF1AN,UBE3A
HIF1AN,UBE3A
HIF1AN,UBE3A
HIF1AN,UBE3A
HIF1AN,UBE3A
HIF1AN,UBE3A
UBE3A,HIF1AN
UBE3A,UCHL5
UCHL5,UBE3A
Arhgef15,Ephb2
Arhgef15,Ephb2
Ephb2,Arhgef15
E6,UBE3A
E6,UBE3A
EIF3C,UBE3A
HERC2,UBE3A
NSUN2,UBE3A
NSUN2,UBE3A
PSMD4,UBE3A
UBE3A,EIF3C
UBE3A,HERC2
UBE3A,HERC2
